RXN,pred_kcat
ACCOAC,44.73289618200931
ACKr,265.8795903684307
ENO,42.262353079631346
FBA,2.4903323545651648
GALK2,410.4880910265776
GALM,4.462857531386479
GALT,33.81471901609733
GALU_f,2.7555745180755364
GALU_r,9.278691575988983
GAPD,0.6557387175773249
HEX1,53.63454775314824
LACZ,6.482541205630778
LCTSGALex,5.64504619201865
LDH_L,340.5886247845123
PDH,0.37344824944057886
PFK,46.482106349209985
PFL,134.00160618963733
PGI,3.3521091074953233
PGK,36.02348041917973
PGM,256.7935108788795
PGMT_f,5.534739512252157
PGMT_r,1.7880897432074485
PTAr,0.9556376331611689
PYK,4.432991769820293
UDPG4E_f,1.6911281510411171
UDPG4E_r,1.691128209450615
